epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.9534644484519958,0.99127596616745,0.9968438744544983,0.13348783552646637,0.9967209100723267,0.9856908917427063,0.9972317218780518,0.9995323419570923,0.10870430618524551,0.9990462064743042
1,0.9590126872062683,0.9925280809402466,0.9990517497062683,0.12804313004016876,0.9972817301750183,0.9872461557388306,0.9975131154060364,0.9998804330825806,0.10803307592868805,0.9990665912628174
2,0.958566427230835,0.9925687313079834,0.999363124370575,0.12765134871006012,0.9974139928817749,0.9872032999992371,0.9975010752677917,0.9998588562011719,0.10806749761104584,0.9990598559379578
3,0.9602756500244141,0.9928478002548218,0.99951171875,0.12672504782676697,0.9974825382232666,0.9869870543479919,0.9974333643913269,0.9998263120651245,0.10812708735466003,0.9990450143814087
4,0.9600703120231628,0.99280846118927,0.9994834065437317,0.12677685916423798,0.9974714517593384,0.9869545102119446,0.997421145439148,0.9998263120651245,0.10814999043941498,0.9990734457969666
5,0.9605832099914551,0.9929681420326233,0.9995612502098083,0.1260557770729065,0.9976333379745483,0.9869003891944885,0.9974116683006287,0.9998588562011719,0.10813891142606735,0.9990857243537903
6,0.9607391357421875,0.9929844737052917,0.999617874622345,0.12590868771076202,0.9975873231887817,0.9873670339584351,0.9975065588951111,0.9999239444732666,0.10812924057245255,0.9990694522857666
7,0.9611989855766296,0.9930667877197266,0.9995895624160767,0.1256832629442215,0.9975842237472534,0.9869764447212219,0.997430682182312,0.9999239444732666,0.10822014510631561,0.9990708231925964
8,0.9613441824913025,0.9931158423423767,0.999660313129425,0.12559466063976288,0.9976514577865601,0.9870418906211853,0.9974225163459778,0.9999239444732666,0.10829099267721176,0.9990450739860535
9,0.9620768427848816,0.9932029843330383,0.9996532201766968,0.12518452107906342,0.997725784778595,0.9868791699409485,0.9974225163459778,0.9999239444732666,0.10828899592161179,0.9990328550338745
10,0.9623278379440308,0.9932742118835449,0.9997806549072266,0.1250039041042328,0.9977195858955383,0.9870744943618774,0.9974347352981567,0.9999239444732666,0.108244888484478,0.9990165829658508
11,0.9625368118286133,0.9932994246482849,0.9996461868286133,0.12464623898267746,0.9976886510848999,0.986575186252594,0.9973574280738831,0.9999239444732666,0.10830498486757278,0.9990056753158569
12,0.9620480537414551,0.9932798147201538,0.99974524974823,0.12474063783884048,0.9977877140045166,0.9864885210990906,0.9973669648170471,0.9999239444732666,0.10826681554317474,0.9990206360816956
13,0.9620978236198425,0.9932742118835449,0.9997593760490417,0.12468548119068146,0.9977704286575317,0.9862606525421143,0.997330367565155,0.9999239444732666,0.1082458645105362,0.9990450739860535
14,0.9626816511154175,0.9933537840843201,0.9997169375419617,0.12439864873886108,0.9977443814277649,0.986076295375824,0.9972951412200928,0.999956488609314,0.10839004814624786,0.9989867806434631
15,0.9639377593994141,0.9935024380683899,0.99973464012146,0.1241035908460617,0.9977943301200867,0.9862064719200134,0.9973099827766418,0.9999239444732666,0.10846968740224838,0.9990111589431763
16,0.9633219838142395,0.9934365153312683,0.9997028112411499,0.12440886348485947,0.99775230884552,0.9863147735595703,0.9973371028900146,0.999956488609314,0.10842607915401459,0.999015212059021
