epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.9741279482841492,0.9946775436401367,0.9972047805786133,0.12223290652036667,0.9978443384170532,0.9933553338050842,0.9983946681022644,0.9997063279151917,0.10545223206281662,0.9992836117744446
1,0.9763677716255188,0.9952198266983032,0.9990658760070801,0.11909018456935883,0.9981110095977783,0.9940950274467468,0.9985266327857971,0.9997501969337463,0.10514429956674576,0.999285101890564
2,0.9769833087921143,0.9953423142433167,0.9993914365768433,0.11866974085569382,0.9981990456581116,0.994171142578125,0.99854975938797,0.9997501969337463,0.10504419356584549,0.9993041157722473
3,0.9766684174537659,0.9954143762588501,0.9994975924491882,0.11791285872459412,0.9983436465263367,0.9941820502281189,0.9985728859901428,0.9998914003372192,0.10496271401643753,0.999294638633728
4,0.977192223072052,0.9954409599304199,0.9995930790901184,0.11812795698642731,0.99830561876297,0.9940628409385681,0.9985619783401489,0.999956488609314,0.10493507236242294,0.9993082284927368
5,0.9774929285049438,0.9956195950508118,0.9996815323829651,0.11733078211545944,0.9984099864959717,0.9940954446792603,0.9985579252243042,0.999956488609314,0.10497613996267319,0.9992960095405579
6,0.9779103398323059,0.9956173896789551,0.999639093875885,0.11731823533773422,0.9983829855918884,0.9941279888153076,0.9985660314559937,0.999956488609314,0.10495737195014954,0.999306857585907
7,0.9788409471511841,0.9958319067955017,0.9997735619544983,0.11667309701442719,0.9984750151634216,0.994160532951355,0.9985619783401489,0.999956488609314,0.10491516441106796,0.9992824792861938
8,0.9780377149581909,0.9956191778182983,0.9997240304946899,0.11709021776914597,0.9984006881713867,0.9936397075653076,0.9985212683677673,0.999956488609314,0.10496587306261063,0.9992837905883789
9,0.9782147407531738,0.9957014322280884,0.9997098445892334,0.11710691452026367,0.9984285831451416,0.9937373399734497,0.9985376000404358,0.999956488609314,0.10497625172138214,0.9992905855178833
10,0.9786005616188049,0.995937168598175,0.9998018741607666,0.11607695370912552,0.9985793828964233,0.9938024282455444,0.9985199570655823,0.999956488609314,0.10498080402612686,0.9992662072181702
11,0.9781614542007446,0.9958266019821167,0.9997806549072266,0.11660167574882507,0.9985634684562683,0.9937698841094971,0.998524010181427,0.999956488609314,0.1049933210015297,0.9992797374725342
12,0.9787312150001526,0.9958987236022949,0.9997806549072266,0.11615779995918274,0.9985846877098083,0.9935420155525208,0.9984955191612244,0.999956488609314,0.10504460334777832,0.9992662072181702
13,0.9787206053733826,0.9958567023277283,0.9998089075088501,0.11636712402105331,0.9985501766204834,0.9936397075653076,0.9984982013702393,0.999956488609314,0.1050039753317833,0.9992878437042236
