epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.0,0.15506459772586823,0.4846450686454773,3.4968814849853516,0.24906601011753082,0.0,0.33999836444854736,0.9054520726203918,2.5092153549194336,0.44016727805137634
1,0.0,0.2523634433746338,0.9707625508308411,2.762218713760376,0.3578234016895294,0.0,0.3500997722148895,0.9946408271789551,2.3596487045288086,0.45758602023124695
2,0.0,0.25742611289024353,0.9766040444374084,2.6288790702819824,0.36838361620903015,0.0,0.35189181566238403,0.9980944991111755,2.294348955154419,0.46050551533699036
3,1.6924826695685624e-06,0.2608184516429901,0.9846890568733215,2.571359157562256,0.3732394874095917,0.0,0.35433560609817505,0.9993450045585632,2.266052484512329,0.4652804732322693
4,0.0,0.27018481492996216,0.9898277521133423,2.5195393562316895,0.3906586766242981,0.0,0.377944678068161,0.9997022747993469,2.1851892471313477,0.511128306388855
5,0.030618099495768547,0.42250990867614746,0.9905500411987305,1.9954215288162231,0.5873901844024658,0.327303409576416,0.7938963770866394,0.9995355606079102,0.8425761461257935,0.8947324752807617
6,0.2399403601884842,0.7511577606201172,0.9944325685501099,0.9722572565078735,0.8472464084625244,0.6211785674095154,0.9183407425880432,0.9999166131019592,0.4189032316207886,0.9518215656280518
7,0.40911969542503357,0.8434368968009949,0.9970635175704956,0.6519221067428589,0.9080222249031067,0.7716337442398071,0.9514529705047607,0.9999404549598694,0.2918786108493805,0.9754184484481812
8,0.5729253888130188,0.8900263905525208,0.9983075261116028,0.4905240833759308,0.9389953017234802,0.8493942618370056,0.966924786567688,0.9999404549598694,0.2280856817960739,0.9835430979728699
9,0.6873779892921448,0.9181999564170837,0.9988423585891724,0.39160770177841187,0.9552685022354126,0.8894132375717163,0.975128710269928,0.9999642968177795,0.19489426910877228,0.9873055219650269
10,0.7432307004928589,0.9355050921440125,0.9990962147712708,0.3298194110393524,0.9651524424552917,0.9076115489006042,0.9804617762565613,0.9999285340309143,0.17358699440956116,0.9899646639823914
11,0.7773040533065796,0.945155918598175,0.9993060827255249,0.29315850138664246,0.9704543352127075,0.9178221225738525,0.9830332398414612,0.9999642968177795,0.1620560884475708,0.9918989539146423
12,0.7987769246101379,0.9522746205329895,0.9994097352027893,0.26688116788864136,0.9761303067207336,0.9270442128181458,0.9864621758460999,0.9999761581420898,0.15074431896209717,0.9948699474334717
13,0.8240113854408264,0.9640448093414307,0.9994668960571289,0.2308403104543686,0.9854384064674377,0.946317732334137,0.9910045862197876,0.9999761581420898,0.13631074130535126,0.9973451495170593
14,0.8501051664352417,0.9720897078514099,0.9995616674423218,0.20489221811294556,0.9897287487983704,0.9556860327720642,0.9925910234451294,1.0,0.1302083432674408,0.997802197933197
15,0.8705875873565674,0.9766515493392944,0.999592125415802,0.18926414847373962,0.9918022751808167,0.9616730809211731,0.9935328960418701,1.0,0.12605322897434235,0.9980403780937195
16,0.8857077956199646,0.9797834157943726,0.9996513724327087,0.1775454878807068,0.9932727813720703,0.9657231569290161,0.9941522479057312,1.0,0.12338601052761078,0.9982478618621826
17,0.8974644541740417,0.9820359945297241,0.9996496438980103,0.16963161528110504,0.9941436648368835,0.9692645072937012,0.9947229623794556,1.0,0.12082900106906891,0.9983639717102051
18,0.9081263542175293,0.9840595722198486,0.9997546076774597,0.16195622086524963,0.9949504733085632,0.9725795984268188,0.9952475428581238,1.0,0.11877503246068954,0.9984771013259888
19,0.9163469076156616,0.9855663776397705,0.9997292160987854,0.15648187696933746,0.9955333471298218,0.9744927287101746,0.995571494102478,1.0,0.11746697127819061,0.998576819896698
20,0.9227060079574585,0.9866884350776672,0.9997850656509399,0.15217748284339905,0.9959405660629272,0.9764424562454224,0.9959120154380798,1.0,0.11590112000703812,0.9987048506736755
21,0.9284322261810303,0.9876744747161865,0.9997698068618774,0.1484917849302292,0.9962880611419678,0.9781216979026794,0.9961948990821838,1.0,0.11473187804222107,0.9987683296203613
22,0.9337376356124878,0.988652765750885,0.9997918009757996,0.14492513239383698,0.9966537356376648,0.9791739583015442,0.9963531494140625,1.0,0.11411119252443314,0.998778760433197
23,0.9374186396598816,0.9893669486045837,0.9998053908348083,0.14220094680786133,0.9968562126159668,0.9795984625816345,0.9964092373847961,1.0,0.11347859352827072,0.9988412857055664
24,0.9401655793190002,0.9898508191108704,0.999798595905304,0.14019769430160522,0.9969998598098755,0.980813205242157,0.9966161847114563,1.0,0.1127348244190216,0.9988507628440857
25,0.9443730711936951,0.9905372262001038,0.9998595118522644,0.13772554695606232,0.9972198605537415,0.9815320372581482,0.9967223405838013,1.0,0.11206630617380142,0.9989320635795593
26,0.9473057985305786,0.9911616444587708,0.999839186668396,0.1352548450231552,0.9974362254142761,0.9827544093132019,0.9968855977058411,1.0,0.11158691346645355,0.9989320635795593
27,0.9495561718940735,0.9915035367012024,0.9998578429222107,0.13386543095111847,0.9975494742393494,0.983254611492157,0.9969764351844788,1.0,0.11102250218391418,0.9989892244338989
28,0.9515727758407593,0.9918946027755737,0.9998358488082886,0.1325930655002594,0.9976313710212708,0.9838067293167114,0.9971004724502563,1.0,0.11054810136556625,0.9989767074584961
29,0.9537506103515625,0.9922628402709961,0.9998730421066284,0.1307038962841034,0.9978147745132446,0.9839572310447693,0.9971446394920349,0.9999880790710449,0.11017084121704102,0.9990332722663879
30,0.9552425146102905,0.9925051331520081,0.9998409152030945,0.13003267347812653,0.9978417754173279,0.9841997027397156,0.9971585273742676,0.9999880790710449,0.11015051603317261,0.9990070462226868
31,0.9570375084877014,0.9928194284439087,0.9998612403869629,0.12875671684741974,0.9979599118232727,0.9847594499588013,0.9972582459449768,1.0,0.10972273349761963,0.9990383386611938
32,0.9588056206703186,0.9931475520133972,0.9998916983604431,0.1274234503507614,0.998081386089325,0.9851601123809814,0.9973411560058594,1.0,0.10928034037351608,0.9990532398223877
33,0.9600372910499573,0.9933605790138245,0.9999052286148071,0.12662681937217712,0.9981050491333008,0.98610520362854,0.9975008964538574,1.0,0.10887283086776733,0.9990779757499695
34,0.9607464671134949,0.9934890270233154,0.999883234500885,0.1259721964597702,0.9981884360313416,0.9859699010848999,0.9974632263183594,1.0,0.10884147137403488,0.9991092085838318
35,0.9616091847419739,0.9936144948005676,0.9998933672904968,0.12548379600048065,0.9981954097747803,0.9862599968910217,0.9975202679634094,1.0,0.10865923017263412,0.9991106986999512
36,0.9630545973777771,0.993860125541687,0.999910295009613,0.12454339116811752,0.9982692003250122,0.9866606593132019,0.9975748658180237,1.0,0.10846495628356934,0.999091386795044
37,0.9648123383522034,0.994182825088501,0.9999170899391174,0.12337815761566162,0.9983792304992676,0.9869150519371033,0.9976080656051636,1.0,0.10810951143503189,0.9991434812545776
38,0.964745819568634,0.9941279292106628,0.9999035000801086,0.12343970686197281,0.9983247518539429,0.9871293902397156,0.9976468086242676,0.9999880790710449,0.10786228626966476,0.9991538524627686
