epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.0,0.05932966247200966,0.16767849028110504,4.020457744598389,0.12812547385692596,0.0,0.08097754418849945,0.15299205482006073,3.8656671047210693,0.15644216537475586
1,0.0,0.12631216645240784,0.7714330554008484,3.2085609436035156,0.22956623136997223,0.0,0.09679025411605835,0.655916690826416,3.402508020401001,0.20726057887077332
2,0.0,0.1414908766746521,0.9623034000396729,2.957601547241211,0.25908786058425903,0.0,0.06545507162809372,0.4671773910522461,3.5112056732177734,0.17330168187618256
3,0.0,0.14341488480567932,0.9757331609725952,2.9079325199127197,0.26320287585258484,0.0,0.06548120081424713,0.4671199321746826,3.5002939701080322,0.17277729511260986
4,0.0,0.14577792584896088,0.9832184314727783,2.874969482421875,0.2657281756401062,0.0,0.07009894400835037,0.46706250309944153,3.465336799621582,0.17740045487880707
5,0.0,0.14905554056167603,0.9864863753318787,2.8557817935943604,0.2687835991382599,0.0,0.07379548251628876,0.4671199321746826,3.461535692214966,0.18340882658958435
6,0.0,0.16122573614120483,0.989322304725647,2.8293590545654297,0.27611005306243896,0.0,0.08930026739835739,0.46825969219207764,3.407050132751465,0.200105682015419
7,0.0,0.1778053492307663,0.991893470287323,2.7575690746307373,0.30458787083625793,0.0,0.12216980010271072,0.566710889339447,3.1526269912719727,0.27914780378341675
8,0.008356058038771152,0.4382900893688202,0.9901294708251953,1.886846899986267,0.6305314898490906,0.03031749650835991,0.6860708594322205,0.9909661412239075,1.2077789306640625,0.8137480616569519
9,0.13675710558891296,0.7625834345817566,0.9953365921974182,0.8884078860282898,0.8718373775482178,0.38042664527893066,0.8828063011169434,1.0,0.5225805044174194,0.9262936115264893
10,0.3161829113960266,0.844413161277771,0.9978380799293518,0.6259235143661499,0.9155858755111694,0.598217248916626,0.920792281627655,1.0,0.38802796602249146,0.9522384405136108
11,0.4595904052257538,0.8831467628479004,0.9985793828964233,0.500477135181427,0.9398026466369629,0.7255347967147827,0.9506214261054993,1.0,0.2920132279396057,0.9746077060699463
12,0.5645290613174438,0.9138553738594055,0.9989694952964783,0.40282297134399414,0.9597089290618896,0.8095532059669495,0.9688324928283691,1.0,0.22512246668338776,0.9848302006721497
13,0.6325446367263794,0.9300855994224548,0.9991783499717712,0.34740152955055237,0.9685390591621399,0.8531554341316223,0.9770928621292114,1.0,0.19511625170707703,0.9901280999183655
14,0.6813970804214478,0.9412584900856018,0.9993213415145874,0.3085351586341858,0.9752850532531738,0.8849090337753296,0.9829300045967102,1.0,0.1727624088525772,0.9938229918479919
15,0.7197463512420654,0.9496442675590515,0.999377965927124,0.2796870768070221,0.9799069762229919,0.907961905002594,0.9868146181106567,1.0,0.1571553647518158,0.9957627654075623
16,0.7505985498428345,0.9561042189598083,0.9994626045227051,0.25806403160095215,0.9830243587493896,0.9249347448348999,0.9893689751625061,1.0,0.14677581191062927,0.9968036413192749
17,0.7785529494285583,0.9617106318473816,0.9995455145835876,0.2391529530286789,0.9855375289916992,0.9412781000137329,0.9917542934417725,1.0,0.13860800862312317,0.9976570010185242
18,0.800583004951477,0.9659032225608826,0.9995683431625366,0.22415626049041748,0.9876089096069336,0.9520410895347595,0.993240237236023,1.0,0.13231106102466583,0.9981992244720459
19,0.8208415508270264,0.9696944952011108,0.9996437430381775,0.21157516539096832,0.9892065525054932,0.9621905088424683,0.9947333335876465,1.0,0.12719465792179108,0.9986248016357422
20,0.8355674743652344,0.9724594950675964,0.999683678150177,0.20176401734352112,0.9903302192687988,0.969247043132782,0.9957303404808044,1.0,0.12320330739021301,0.9989395141601562
21,0.8487247228622437,0.9749216437339783,0.9997574090957642,0.19302383065223694,0.9914186000823975,0.9734705686569214,0.9963043332099915,1.0,0.12023031711578369,0.9991059303283691
22,0.8594717383384705,0.9768319725990295,0.9997156262397766,0.1863207072019577,0.9922774434089661,0.9773584008216858,0.9968550205230713,1.0,0.1176329031586647,0.9992566704750061
23,0.8695613741874695,0.9784942269325256,0.9998096227645874,0.18047276139259338,0.9929030537605286,0.9821321964263916,0.9975008368492126,1.0,0.11536312848329544,0.9994134306907654
24,0.8762710094451904,0.9797152876853943,0.9997464418411255,0.17624202370643616,0.9933112859725952,0.9835258722305298,0.9977151155471802,1.0,0.11362454295158386,0.9993961453437805
25,0.8853062987327576,0.9813178777694702,0.9997881054878235,0.17004992067813873,0.9940066337585449,0.9850526452064514,0.9979664087295532,1.0,0.11180171370506287,0.9996175169944763
26,0.8912506103515625,0.9822993278503418,0.9997850060462952,0.1664411425590515,0.9943631887435913,0.9866279363632202,0.9981633424758911,1.0,0.11061785370111465,0.9996451139450073
27,0.8972821235656738,0.9833852052688599,0.9997574090957642,0.16253170371055603,0.9947764873504639,0.987710177898407,0.9983488917350769,1.0,0.10958535224199295,0.9996882081031799
28,0.9020489454269409,0.984210729598999,0.9997850060462952,0.15968303382396698,0.9950972199440002,0.9887200593948364,0.9984607696533203,1.0,0.10865586996078491,0.9997240900993347
29,0.9082543849945068,0.9851961731910706,0.999812662601471,0.15624819695949554,0.9954138994216919,0.9900895357131958,0.9986678957939148,1.0,0.10776828229427338,0.9997313022613525
30,0.9126679301261902,0.9859073758125305,0.999812662601471,0.15362636744976044,0.9956466555595398,0.9908363223075867,0.9987756013870239,1.0,0.10710550844669342,0.9997456669807434
31,0.915766179561615,0.9864855408668518,0.9998618364334106,0.1513374000787735,0.9958703517913818,0.9912958741188049,0.9988043308258057,1.0,0.10647501051425934,0.9997815489768982
32,0.9198130369186401,0.9871668815612793,0.9998096227645874,0.14915771782398224,0.996090292930603,0.992157518863678,0.9989407658576965,1.0,0.10580538213253021,0.9998102784156799
33,0.9237169027328491,0.9877488017082214,0.9998955726623535,0.14693240821361542,0.9962669014930725,0.9927802085876465,0.9990257024765015,1.0,0.1053631380200386,0.999788761138916
34,0.9273541569709778,0.9883779883384705,0.9998249411582947,0.14478373527526855,0.9965265393257141,0.9927228093147278,0.9990184903144836,1.0,0.10484593361616135,0.9998390078544617
35,0.9301562309265137,0.9889088869094849,0.9998832941055298,0.1427581012248993,0.9967365264892578,0.9934213161468506,0.9991274476051331,1.0,0.10450751334428787,0.9998605251312256
36,0.9321348667144775,0.9891634583473206,0.9999170899391174,0.14175266027450562,0.9967603087425232,0.9939866065979004,0.9991836547851562,1.0,0.1042117327451706,0.9998461604118347
37,0.9338139891624451,0.9895157814025879,0.9999017119407654,0.1401987224817276,0.9969341158866882,0.9944461584091187,0.9992411136627197,1.0,0.10385646671056747,0.9998677372932434
38,0.9367051720619202,0.9899088740348816,0.9998525977134705,0.1389472633600235,0.9970440864562988,0.99479079246521,0.9993057250976562,1.0,0.1035677120089531,0.9998461604118347
39,0.940071165561676,0.9905065298080444,0.9998587369918823,0.1368405520915985,0.997199296951294,0.9954801201820374,0.9993847012519836,1.0,0.10326129198074341,0.9998677372932434
40,0.9413798451423645,0.9906798601150513,0.9998661279678345,0.1358955353498459,0.9972955584526062,0.995676577091217,0.9994092583656311,1.0,0.10307598114013672,0.9998605251312256
41,0.9431142807006836,0.991034746170044,0.9998832941055298,0.1345115602016449,0.9974251985549927,0.9956524968147278,0.9994062781333923,1.0,0.10283073037862778,0.9998821020126343
42,0.9438992738723755,0.9910871386528015,0.9998986721038818,0.13441121578216553,0.9974255561828613,0.99576735496521,0.9994349479675293,1.0,0.10259992629289627,0.9998892545700073
43,0.9475289583206177,0.9917241930961609,0.9998955726623535,0.13204964995384216,0.9976685643196106,0.9960063695907593,0.9994577765464783,1.0,0.10243233293294907,0.9998892545700073
